id,status,project,file,closing,null_language,states_floor,FLOOR_GAP,BUG,DATA,NARROW,claim
S011,RETRACTED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"Set-1 undershoot −2.53pp, p=0.0007, and everything in Phases 2–5 built on it"
S003,RETRACTED,set1_overshoot,LEDGER.md,yes,0,1,,,,,"Label-verified subsample −5.75pp [−9.71,−1.79], p=0.0062"
S012,RETRACTED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"""ATP is the thinnest book — median 30 lots, 3¢ spread"""
S013,RETRACTED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"""Median 106 contracts at the touch"""
C003,RETRACTED,crypto,LEDGER.md,yes,1,0,yes,,,,"Round-number settlement pinning, 6/20 survive BH at p≈0"
C006,RETRACTED,crypto,LEDGER.md,yes,1,1,,,,,Fat-tail edge worth 1.5–1.9¢ net at 2.5–3σ
C013,RETRACTED,crypto,LEDGER.md,yes,1,1,,,,yes,"Mid calibration gap +4.2pp, net +1.00¢ at the ask"
C014,RETRACTED,crypto,LEDGER.md,yes,0,0,,,,,464 profitable bucket-sum arbitrage violations at 96–97¢
C015,RETRACTED,crypto,LEDGER.md,yes,0,0,,,,,Polymarket taker cost is identical to Kalshi
W006,RETRACTED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,"""72% of the edge lives in exits"""
W011,RETRACTED,wallet-copy-study,LEDGER.md,yes,0,4,,,,,"Prior study's naive favourite benchmark +7.05pp on n=98,766"
W012,RETRACTED,wallet-copy-study,LEDGER.md,yes,0,1,,,,,Copying selected wallets loses −5.90pp
W015,RETRACTED,wallet-copy-study,LEDGER.md,yes,0,0,,yes,,,Polymarket fee formula fits at median relative error 0.96
W016,RETRACTED,wallet-copy-study,LEDGER.md,yes,0,0,,,,,enable_order_book is a valid eligibility criterion
T008,RETRACTED,kalshi-tennis,LEDGER.md,yes,1,1,,,,,Stage 5 selective betting returns +14.4% to +24.6% ROI
T010,RETRACTED,kalshi-tennis,LEDGER.md,yes,0,0,,yes,,,Kalshi beats the Betfair closing line by 0.022 Brier
T007,RETRACTED,kalshi-tennis,LEDGER.md,yes,0,0,,yes,,,Market beats model once wide quotes are excluded (+0.03711)
T017,RETRACTED,kalshi-tennis,LEDGER.md,yes,0,0,,yes,yes,,Stage 0 coverage is 74.5%; there is no ITF tier on Kalshi
K006,RETRACTED,kalshi-market-scan,LEDGER.md,yes,0,0,,,,yes,"Depth at the touch collapses 40× toward expiry, so edge and liquidity are anti-correlated"
K003,RETRACTED,kalshi-market-scan,LEDGER.md,yes,0,1,,,,,"The weather model was validated on 8,090 test markets"
K005,RETRACTED,kalshi-market-scan,LEDGER.md,yes,2,0,yes,,,,"""Seven daily families clear the capacity bar, so weather is not capacity-limited"""
K015,RETRACTED,kalshi-market-scan,LEDGER.md,yes,1,3,,,,,"""Buying everything priced 0.60–0.95 earns +7.05pp ± 0.22 on n=98,766"" — named the finding that reframes the whole copy-trading block"
S001,SETTLED,set1_overshoot,LEDGER.md,yes,0,1,,,,,The market undershoots after a set-1 dip — it does not overshoot. The effect is real.
S002,SETTLED,set1_overshoot,LEDGER.md,yes,2,1,,,,,The pre-committed primary entry rule (deep:12) shows no effect at all.
S004,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,The cost bar to beat is 3.6104pp = 1.170 spread + 1.000 slip + 1.441 fee.
S005,SETTLED,set1_overshoot,LEDGER.md,yes,3,1,,,,,No time or tier bucket clears the bar. 0 of 25.
S006,SETTLED,set1_overshoot,LEDGER.md,yes,3,1,,,,,No set-1 margin bucket clears the bar. 0 of 10 (0.25 expected by chance).
S007,SUGGESTIVE,set1_overshoot,LEDGER.md,,0,0,,,,,Effect strengthens monotonically as set 1 gets shorter/more lopsided (10.86→5.58→2.77pp; 8.15→4.12→1.84pp).
S008,SETTLED,set1_overshoot,LEDGER.md,yes,1,0,yes,,,,Maker/resting orders do not fix it. All 15 fill configurations are net-negative per opportunity.
S009,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,Maker price improvement is already exceeded by adverse selection.
S010,SETTLED,set1_overshoot,LEDGER.md,yes,1,0,yes,,,,"Maker fee is zero on Challenger/ITF (91% of the book), applies only on ATP/WTA."
S014,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,The set-1 detector calls direction correctly 82.5% of the time.
S015,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,"t0 (set-1 end) is estimated +5 min median, MAD 6, against real playing minutes."
S016,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,yes,Mirrored Kalshi markets are exact inverses (median mid difference 0.00¢).
S017,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,The P&L decomposition is an exact identity.
S018,SETTLED,set1_overshoot,LEDGER.md,yes,1,0,yes,,yes,,Label coverage cannot be raised. Apify hard-capped; Flashscore dayOffsets is −7..+7 against a −68 need.
S019,SETTLED,set1_overshoot,LEDGER.md,yes,0,0,,,,,Trade-through is not a generous fill assumption — best bid rises in only 6.1% of minutes.
